26|Biopath General|Hospital|Chattogram|Lakshmipur|Hospital Ramganj Lazmipur|Unknown|Pathological Tests - 45% Radiology & Imaging—35% Discount in Outdoor Services CASHLESS HOSPITALIZATION N/A N/A|Hospital Ramganj Lazmipur|N/A
27|Bismillah General Hospital & Digital Diagnostic Center|Hospital|Chattogram|Chandpur|Shukran Plaza, 3610 Hajiganj, Chandpur|Unknown|Md. Tofayel ahmed: 01711-154162 , Hotline: 01819-175526|Shukran Plaza, 3610 Hajiganj, Chandpur|tofayelahmed1877@gmail.com
28|Bluesky Health Limited|Diagnostic Center|Dhaka|Dhaka|28/8/C Bir Uttam AK Khandakhar Road, Mohakhali, Dhaka-1212, Bangladesh|Unknown|Habib: 01716417467 , Hotline- 01948003000|28/8/C Bir Uttam AK Khandakhar Road, Mohakhali, Dhaka-1212, Bangladesh|aikhanbluesky@gmail.com
29|Brac Healthcare limited (Mirpur)|Diagnostic Center|Dhaka|Dhaka|840 Kazipara, Begum Rokeya Shoroni, Mirpur, Dhaka - 1216, Bangladesh|Unknown|Mr. Rubel ?: 01329-750068? , Hotline: 09678191911|840 Kazipara, Begum Rokeya Shoroni, Mirpur, Dhaka - 1216, Bangladesh|bhc.kazipara@brac.net
30|Brac Healthcare limited (Uttara)|Diagnostic Center|Dhaka|Dhaka|House 15, Road 12, Sector 06, Uttara, Dhaka, 1230|Unknown|Mr. Tanbir : 01917-795280? , Hotline: 09678191911|House 15, Road 12, Sector 06, Uttara, Dhaka, 1230|bhc.uttara@brac.net
31|BRB Hospitals Limited|Hospital|Dhaka|Dhaka|77/A East Razabazar, West Panthapath, Dhaka-1215|Unknown|Moninur Rahman: 01704-117499 , Rezaul: 01713-150473|77/A East Razabazar, West Panthapath, Dhaka-1215|kaziahasanh@gmail.com
32|Care Digital Diagnostic Centre|Diagnostic Center|Dhaka|Gazipur|Signboard Bus Stand, Near Kacha Bazar, Gazipur City Corporation, Bangladesh|Unknown|Abdur sabur: 01771903260 , Hotline: 01791766660|Signboard Bus Stand, Near Kacha Bazar, Gazipur City Corporation, Bangladesh|absabur1995@gmail.com
33|Central Hospital|Hospital|Dhaka|Kishoreganj|Bhairab Bazar, Bangladesh|Unknown|Pathological Tests - 30% Radiology & Imaging—30% Discount in Outdoor Services CASHLESS HOSPITALIZATION N/A 01718-167646|Bhairab Bazar, Bangladesh|N/A
34|Central Hospital Cox's Bazar|Hospital|Chattogram|Cox's Bazar|Near Girl's High School, Sadar Hospital Road, , Cox's Bazar, Bangladesh|Unknown|Md. Shamim: 01708-328300, 018540- 985520, 01843-739873, Hotline: 01827-557556|Near Girl's High School, Sadar Hospital Road, , Cox's Bazar, Bangladesh|info@centralhospitalcox.com
35|Central Hospital Limited|Hospital|Dhaka|Dhaka|House No. # 02, Road No. # 05, Green Road, Dhanmondi, Dhaka 1205|Unknown|Abdullah Al Mamun: 01731-213511|House No. # 02, Road No. # 05, Green Road, Dhanmondi, Dhaka 1205|mamunchl81@gmail.com
